filename,width,height,class,xmin,ymin,xmax,ymax
Numazu_20170906095801.jpg,600,600,D43,69,371,600,576
Numazu_20170906144736.jpg,600,600,D44,79,273,214,540
Adachi_20170906093840.jpg,600,600,D20,1,346,203,598
Adachi_20170921160022.jpg,600,600,D44,324,343,600,565
Adachi_20170921160022.jpg,600,600,D01,1,293,116,499
Numazu_20170907150024.jpg,600,600,D44,124,403,209,600
Sumida_20170907170239.jpg,600,600,D43,141,424,600,546
Numazu_20170906142407.jpg,600,600,D00,314,418,413,560
Numazu_20170906142407.jpg,600,600,D44,386,337,600,498
Numazu_20170906142407.jpg,600,600,D01,202,277,255,598
Muroran_20170907140205.jpg,600,600,D00,237,367,338,581
Numazu_20170906134813.jpg,600,600,D20,209,371,600,597
Numazu_20170906134813.jpg,600,600,D01,1,311,188,496
Numazu_20170907141826.jpg,600,600,D44,293,412,356,474
Numazu_20170907141826.jpg,600,600,D01,242,413,285,600
Numazu_20170907141826.jpg,600,600,D20,355,434,541,556
Numazu_20170907141826.jpg,600,600,D20,53,454,209,596
Adachi_20170908101035.jpg,600,600,D44,288,191,374,300
Adachi_20170908101035.jpg,600,600,D20,105,318,600,598
Numazu_20170906135035.jpg,600,600,D01,303,370,347,480
Numazu_20170906135035.jpg,600,600,D11,1,424,352,482
Numazu_20170906135035.jpg,600,600,D00,290,447,441,559
Muroran_20170906140243.jpg,600,600,D40,467,453,509,481
Muroran_20170906140243.jpg,600,600,D20,197,359,566,600
Adachi_20170908101427.jpg,600,600,D11,271,299,547,332
Adachi_20170908101427.jpg,600,600,D01,225,195,307,588
Numazu_20170906084601.jpg,600,600,D00,169,317,270,472
Chiba_20170915133346.jpg,600,600,D44,463,482,600,569
Chiba_20170915133346.jpg,600,600,D20,216,472,349,589
Nagakute_20170911093614.jpg,600,600,D01,206,351,332,588
Numazu_20170907141930.jpg,600,600,D44,3,377,172,521
Numazu_20170907141930.jpg,600,600,D01,262,371,427,596
Sumida_20170913165543.jpg,600,600,D01,330,412,413,554
Sumida_20170913165543.jpg,600,600,D44,473,443,600,526
Muroran_20170908141711.jpg,600,600,D20,47,360,541,600
Sumida_20170915153057.jpg,600,600,D44,277,404,354,548
Nagakute_20170913150148.jpg,600,600,D01,75,406,161,596
Sumida_20170911144555.jpg,600,600,D43,64,452,600,550
Numazu_20170906094426.jpg,600,600,D00,450,424,564,484
Numazu_20170906094426.jpg,600,600,D43,88,314,379,373
Sumida_20170911170752.jpg,600,600,D44,395,413,536,581
Muroran_20170906150430.jpg,600,600,D20,168,358,587,588
Muroran_20170921111350.jpg,600,600,D01,182,320,309,543
Numazu_20170907142422.jpg,600,600,D40,37,539,147,597
Numazu_20170907142422.jpg,600,600,D20,149,484,375,594
Adachi_20170908100547.jpg,600,600,D01,343,201,449,566
Sumida_20170914171353.jpg,600,600,D01,160,398,575,545
Sumida_20170920151811.jpg,600,600,D01,154,416,485,548
Adachi_20170907142902.jpg,600,600,D01,424,211,584,414
Adachi_20170907142902.jpg,600,600,D01,249,264,337,591
Nagakute_20170912162936.jpg,600,600,D20,163,405,595,600
Muroran_20170907133604.jpg,600,600,D20,226,322,505,597
Nagakute_20170908090209.jpg,600,600,D00,71,343,175,600
